aid,likeNum,commentsLen,reposts_count,region,content,contentLen,created_at,type,detailUrl,authorAvater,authorName,authorDetail,isVip
5101649222174539,2,0,1,无,大神剪辑的《川普王朝》[允悲]还有和《康熙王朝》原视频对比，不说分毫不差吧，也一模一样[笑cry]#美国不支持台湾独立##泽连斯基称美国不能逼我们坐在谈判桌上# http://t.cn/A6nrQw88 ​,172,2024-11-17,国际,https://weibo.com/5101649222174539/P0GU297Hd,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/007YYx7Rly8gbtw04m4grj30ro0ro40b.jpg?KID=imgbed,tva&Expires=1731834104&ssig=%2BT5u%2BrJfmG",残云吹雨,https://weibo.com/7313937003,0
5101648294445989,69,15,14,无,【#特朗普提名金主任能源部长#】当地时间11月16日，美国当选总统特朗普宣布提名克里斯·赖特（Chris Wright）担任下一届能源部长，他是美国石油公司Liberty Energy的首席执行官，也是共和党的捐赠者之一。赖特还将在特朗普新设立的美国国家能源委员会任职。特朗普在声明中说：“赖特一直是能源领域领 ​,1261,2024-11-17,国际,https://weibo.com/5101648294445989/P0GSxiEBv,"https://tvax3.sinaimg.cn/crop.6.8.591.591.180/707e96d5ly8h8vg9v0hpjj20go0gowf6.jpg?KID=imgbed,tva&Expires=1731834104&ssig=X5LjoEvG2D",观察者网,https://weibo.com/1887344341,0
5101647539734518,520,130,25,无,泽连斯基接受乌克兰电视台专访，称努力以外交手段在明年结束冲突。电视台是他们叫过去的，是为明年和谈，先给乌克兰国内民众一个心理缓冲期。不出意外，明年上半年战争要停了。川普第一效应。 ​,184,2024-11-17,国际,https://weibo.com/5101647539734518/P0GRjEQom,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/6fc6b552ly8hdrfkljnbfj20u00u0ahf.jpg?KID=imgbed,tva&Expires=1731834104&ssig=pL%2Bf7vxOj4",卢克文,https://weibo.com/1875293522,1
5101647444053775,2,0,0,无,埃隆·马斯克在纽约会见了伊朗驻联合国大使BBC新闻记者，露丝·科默福德角色，BBC 新闻2024 年 11 月 15 日照片 埃隆·马斯克在一次会议上凝视着远方，他的脸被灯光照亮，身后是一块屏幕 图片来源，路透社据 BBC 的美国合作伙伴 CBS 证实，埃隆·马斯克在被任命为唐纳德·特朗普新成本削减部门联合负 ​,1576,2024-11-17,国际,https://weibo.com/5101647444053775/P0GRah0zt,"https://tvax4.sinaimg.cn/crop.0.63.250.250.180/008sgzFsly1h1ww4o9xq3j306y0agaa9.jpg?KID=imgbed,tva&Expires=1731834104&ssig=mu7q1CW7Xf",张作风流行病学教授UCLA,https://weibo.com/7746750422,0
5101647397916524,34,3,7,无,Ivanka Trump特朗普女儿伊万卡早期经典活动造型合集 ​,48,2024-11-17,国际,https://weibo.com/5101647397916524/P0GR5xdrS,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/006YhxFKly8hvik4xwx2ij30u00u0ju9.jpg?KID=imgbed,tva&Expires=1731834104&ssig=JeQCLAAu07",伊万卡的日常,https://weibo.com/6387558168,1
5101647296991692,76,18,10,无,#泽连斯基称美国不能逼我们坐在谈判桌上#特朗普：我没有逼你啊，我只是拿着枪劝你罢了[吃瓜]泽连斯基老演员了，幽默感早就深入骨髓了。#老张杂谈# ​,142,2024-11-17,国际,https://weibo.com/5101647296991692/P0GQVtkRe,"https://tvax3.sinaimg.cn/crop.0.0.960.960.180/006XZ8sVly8hkusnq51mkj30qo0qowgq.jpg?KID=imgbed,tva&Expires=1731834104&ssig=K%2B615jlvnj",名人张聊,https://weibo.com/6383171369,1
5101647262909942,2,0,0, 陕西,#法院同意暂停特朗普机密文件案上诉#据美国广播公司（ABC）报道，当地时间16日，美国联邦上诉法院批准了特别检察官史密斯的请求，暂停对美国当选总统特朗普涉机密文件案的上诉。美国历史上首次出现刑事犯出任总统，不知道美国后续会有什么措施。 ​,231,2024-11-17,国际,https://weibo.com/5101647262909942/P0GQScd0y,"https://tvax2.sinaimg.cn/crop.0.0.750.750.180/5eb878d4ly8hkmhq86pjgj20ku0kugmg.jpg?KID=imgbed,tva&Expires=1731832887&ssig=l67A5m5JMc",马延明,https://weibo.com/1589147860,1
5101647221754782,13,5,5,无,华川踢馆，称不信有这么愚昧的“精英”，非要提供原文原话。“WiFi 辐射会带来各种危害，包括导致癌症……来自手机……耳后的手机肿瘤。”#特朗普提名多人出任重要职位##特朗普提名小肯尼迪为卫生部部长# http://t.cn/A6nrHlTn ​,212,2024-11-17,国际,https://weibo.com/5101647221754782/P0GQO7muW,"https://tvax3.sinaimg.cn/crop.0.0.508.508.180/008C7tN6ly8hl2nsdbajtj30e40e40sn.jpg?KID=imgbed,tva&Expires=1731834104&ssig=q2MmItebnE",牂牁萨满,https://weibo.com/7892346240,0
5101647035895577,9,6,0, 浙江,特朗普“抱怨”：马斯克好喜欢我家 我都赶不走他 #特朗普胜出# http://t.cn/A6nrHOhh ​,79,2024-11-17,国际,https://weibo.com/5101647035895577/P0GQvoJHX,"https://tvax4.sinaimg.cn/crop.0.0.500.500.180/008gh7eFly8hceiro9ic0j30dw0dwwew.jpg?KID=imgbed,tva&Expires=1731831153&ssig=BSmzfKB9ml",戍衢小将,https://weibo.com/7569563425,0
5101646661028685,37,4,8, 广东,据报道称，米三国第三联合军内部正在对军队领导层进行大规模清洗：-第三CAA 指挥官被解职-第三CAA指挥人员全部被解雇- 第六和第七旅指挥官被捕-第 123 旅旅长在逃米三帝可真会玩啊！！！#俄乌局势新进展##特朗普和平计划##美国大选# ​,220,2024-11-17,国际,https://weibo.com/5101646661028685/P0GPU4jBH,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/005IsNEtly8h75ti2g0t5j30u00u1dm0.jpg?KID=imgbed,tva&Expires=1731832621&ssig=vvqbX9GBmM",wanshi童鞋2,https://weibo.com/5237686993,0
