word,count
TBD,30
VS,28
2024KeSPA,28
BO1,24
就是,22
这个,22
一个,19
结局,18
现在,16
大飞,13
30,12
知道,12
t1,11
直接,11
15,11
不是,10
青训,10
00,10
faker,10
这种,9
没有,9
16,9
刺客,9
14,9
12,9
ad,9
只能,8
一样,8
tes,8
krd,8
战士,8
出来,8
还是,8
问题,7
用户,7
一直,7
什么,7
blg,7
中野,7
ap,7
伤害,7
直播,7
移除,7
比赛,7
暗爪,7
自己,6
环境,6
怎么,6
攻击,6
评价,6
大家,6
以前,6
NS,6
别人,6
吸血,6
野狗,6
可以,6
这么,6
联赛,6
VIE,6
回复,6
最后,6
一次,6
真的,5
已经,5
中路,5
中奖,5
13,5
上路,5
幕刃,5
最大,5
45,5
T1,5
外卖,5
wei,5
他们,5
开始,5
流量,5
wbg,5
rng,5
回来,5
玩法,5
有点,5
加成,5
但是,5
蝌蚪,5
基本,5
队友,5
17,5
不过,5
然后,5
感觉,5
狂风,5
之前,5
路边,5
好像,5
打野,4
之后,4
破防,4
效果,4
如何,4
家人,4
逃兵,4
教练,4
学院,4
ig,4
哈哈哈,4
能力,4
神话,4
今年,4
HLE,4
多兰,4
记得,4
GEN,4
广告,4
下班,4
为了,4
上班,4
虽然,4
DK,4
上钟,4
咳血,4
lpl,4
李狗,4
dk,4
支持,4
哥哥,4
可能,4
重新,4
BO3,4
楼主,4
暴毙,4
还要,4
挨刀,4
lck,4
多少,4
炫狗,4
塔姆,4
挺进,4
宙斯,4
随便,4
位移,4
上单,4
这些,4
主力,4
不能,4
大伙,4
为什么,3
估计,3
过量,3
治疗,3
同时,3
一起,3
被动,3
18,3
人马,3
19,3
20,3
技能,3
加上,3
螳螂,3
需要,3
s12,3
下水道,3
输出,3
肯定,3
三级,3
结果,3
一把,3
瑞兹,3
抓中,3
只是,3
gap,3
尽力,3
周末,3
gkd,3
涅槃,3
几年,3
那个,3
有没有,3
加油,3
确实,3
觉得,3
第一,3
碰瓷,3
是不是,3
两个,3
不要,3
主播,3
喜欢,3
扣帽子,3
几个,3
宙活,3
还有,3
一下,3
桌角,3
不行,3
帖子,3
二楼,3
里面,3
百分比,3
投票,3
特别,3
整个,3
看过,3
成绩,3
当然,3
世界,3
在意,3
画面,3
天天,3
一天,3
躺平,3
不会,3
中单,3
卢仙,3
攻击力,3
主打,3
收益,3
回归,3
爪刀,3
排眼,3
削弱,3
应该,2
下场,2
嘎子,2
周二,2
好多,2
地图,2
周四,2
周六,2
skt,2
时期,2
上全,2
打打,2
从没,2
夺冠,2
应付,2
一共,2
gen,2
ns,2
三个,2
队上,2
牲口,2
哈哈哈哈,2
实在,2
程度,2
工作,2
LPL,2
那句话,2
社会,2
有用,2
明显,2
考虑,2
重庆,2
一条,2
经济,2
确定,2
完全,2
开摆,2
稳中,2
朋友,2
最高,2
大量,2
韭菜,2
这样,2
父母,2
那边,2
UZI,2
js,2
绑定,2
对兵线,2
还会,2
根本,2
野区,2
为啥,2
袅袅,2
不如,2
重做,2
今天,2
的话,2
活不下去,2
赛季,2
射手,2
10,2
装备,2
适合,2
年鉴,2
位数,2
转暴击,2
godv,2
众生,2
平等,2
丛刃,2
三刀,2
暴击,2
多岁,2
休息,2
任何,2
一套,2
黑幕,2
share,2
sjs,2
怪物,2
十年,2
脆皮,2
恶心,2
杰斯,2
英雄,2
法师,2
太好了,2
杀猪,2
起来,2
不然,2
饮血,2
到底,2
次级,2
比尔森,2
以及,2
韦鲁斯,2
电刀,2
无所谓,2
永远,2
东西,2
正常,2
看到,2
批捞,2
甚至,2
client,2
状态,2
补充,2
剑魔,2
塞拉斯,2
冰女,2
我儿,2
主要,2
叛徒,2
破坏者,2
船长,2
这人,2
闪现,2
变成,2
一通,2
所有,2
版本,2
耐久度,2
改版,2
一轮,2
排位,2
成型,2
mvp,2
赛娜,2
bigbang,2
半张,2
坦克,2
s11,2
汇总,2
全员,2
所以,2
脸像,2
消息,2
无人,2
卧底,2
绝对,2
小丑,2
决赛,2
转会,2
哈哈,2
不敢,2
沙皇,2
bo5,2
差距,2
人员,2
公司,2
不了,2
选手,2
腾讯,2
横扫,2
处理,2
第一把,2
tp,2
第五,2
如果,2
节目,2
大战,2
拉满,2
TES,2
全勤,2
征战,2
观众,2
IG,2
合同,2
一年,2
神人,2
科目,2
咸咸,2
选购,2
很差,2
汤圆,2
丽云难,2
以为,2
十天,1
算不算,1
https,1
tieba,1
baidu,1
com,1
9202960017,1
9105,1
fr,1
sharewise,1
is,1
video,1
false,1
unique,1
68F29D2E16F8CEBECC39E7EE27AB0A37,1
st,1
1727960740,1
type,1
version,1
12.69,1
1.0,1
sfc,1
copy,1
from,1
post,1
50,1
四楼,1
不管,1
IP,1
gala,1
小号,1
犯规,1
这算,1
没活,1
几遍,1
都行,1
能别,1
低能,1
抗抗们,1
悟出,1
之处,1
赌博,1
买卖,1
偷拍,1
贪污,1
关进去,1
baby,1
互联网,1
低贱,1
玩意,1
小日子,1
遗留下,1
杂碎,1
半个,1
太安静,1
习惯,1
妈妈,1
2014,1
看抗,1
经验,1
好评,1
如潮,1
dopa,1
pawn,1
不必,1
版面,1
十个,1
faker18,1
格里芬,1
22,1
新闻,1
没看,1
fake,1
顺从,1
怀疑,1
刻意,1
安排,1
盘活,1
奶嘴,1
