area,tid,author,authorImg,title,content,likeNum,replyNum,postTime
抗压背锅,9264705822,贴吧赛事,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.46832ee5.xaQvz_OxIisHmGAtV_D3TQ?t=1720426323,S14盖楼打分抽奖活动圆满结束，中奖名单公布！,感谢各位吧友的大力支持，自活动启动以来，大家积极参与，是你们的热情让这次活动更加精彩！快来看看你是不是中奖了吧！ *** 恭喜以上中奖玩家！*** 请所有中奖者注意私信，@贴吧赛事 官号将于11.14日前内通过百度贴吧私信与以上中奖用户联系，提供必要的领奖信息。截止11.19日未回复者，将视为自动放弃奖品。 我们将确保所有用户的个人信息安全，仅用于奖品发放相关事宜。 没有中奖的朋友也不要灰心，未来还有更多精彩活动等着你！感谢大,352,81,2024-11-12 11:51:21
抗压背锅,9265049618,贴吧赛事,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.46832ee5.xaQvz_OxIisHmGAtV_D3TQ?t=1720426323,S14盖楼竞猜活动兑奖啦！快来看看幸运儿是不是你～,s14竞猜盖楼活动圆满结束～感谢各位吧友的支持，小赛以后会争取更丰厚的奖励回馈各位吧友！言归正传，我们恭喜以下吧友中奖！ 注意事项： 1.本次盖楼奖励除战队队服外其余奖励均有随机数字生产产生，如有重复中奖、字数不足、重复盖楼等不符合规则楼层将顺延至下一符合规则楼层。 2.@贴吧赛事 官号将于11.15日前内通过百度贴吧私信与以上中奖用户联系，请各位吧友注意私信通知，实物奖品请准备好联系人、手机、地址等信息，方便兑奖。截,45,33,2024-11-12 15:40:00
抗压背锅,9192427219,七夜魔君_,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.a4cb0c85.G3fZ1HcMuRalGRgV9yJcIw?t=1647644115,抗压背锅吧举报申诉专帖  S14专场,"原则：严格按照本吧吧规、《贴吧协议》、《吧主制度》管理内容与用户，并开设封删申诉专用贴供吧友二次申诉，一天内处理回复用户申诉 严格遵守贴吧官方的管理准则 吧务们会在24小时内，核实确实违规后处理。 举报内容包括,违反吧规以及度娘贴吧协议。 各种皮套主播相关内容，手游（农，〇 ，粥 等一切无关本吧主题的）相关内容及衍生话题 明显引战贴 YLG，水贴，其他无关电竞游戏内容。 反串贴装睿智，阴阳怪气 逆风输出以及外战期间黑LP",697,416,2024-09-26 19:40:58
抗压背锅,9297216276,落樱幻琰,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.502d34a0.wgiRLgqm2s2ZDL8XWeidRA?t=1720867395,【赛事预告】12月2日-12月8日：2024KeSPA杯, 镇楼,0,14,2024-12-01 10:44:30
抗压背锅,9298056420,R1nme,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.96dda2ac.q9uzUAaai6aDyY1BIOysKQ?t=1732953248,为什么大李狗夺冠了秒变faker二吧？,真是招笑呢，还说什么大李狗>bigbang这种话来，在下面yy韩国财阀 bigbang都有麻麻，大李狗有吗？大李狗只有科目死，科目无，以后连科目溜的希望都没有 没有Zeus大李狗也配拿冠军？混几波开一波团就美美偷下FMVP美其名曰第N春，实则是吸血队友靠偷高光维持金玉之其外，败絮之其内。 还什么大李狗直播绿茶宙斯，真是搞笑呢，没有宙斯大李狗早被喷退役了。 大李狗敢喷？明年全年被宙斯和chovy逮捕就老实啦、。 ,87,45,2024-12-01 10:42:41
抗压背锅,9298097527,CAR阳Yy,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.d55d90b8.D5Ipiukx1_qbqTr_Dpv3_A?t=1488886227,🧟♂️僵尸这么恨哥哥吗,全明星邀请赛投票，疯狂帮嘎子投票。然后跑到嘎子超话自嗨，高潮，好像他们的🧟♂️主子人气好无敌，他们脸上好有光一样,6,23,2024-12-01 11:05:34
抗压背锅,9293713768,柠徊,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.41bca13c.OJZKhccFCWmOoEUgimioww?t=1726060227,T1新签的这个haetae有点夸张,这个新上单是DK青训出身，春季赛的fmvp+单杀历史记录创造者，然后夏季赛就被hle二队买走了。夏天DK又提拔了一个07年的小将更夸张，三个月刷新前任单杀纪录到47个，同样是次级冠军fmvp，于是就成了明年DK的一队上路，id是siwoo ,1418,235,2024-11-29 02:40:45
抗压背锅,9298181736,啊1111231m_,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.b4c91b0d.LRzElrjReypTZ9nvdX2H4g?t=1724906254,科目四怎么也搞霸凌这套啊,doran因为打游戏赢了faker而惨遭t1集体霸凌 蝌蚪不是天天吹科目四人品好素质高吗？不是队友好团队和睦，不霸凌后辈吗？怎么也搞上资历歧视这一套了？怎么不在乎镜头了？ 我看大李狗和那些老干部的作风简直一模一样啊，后辈必须无条件奉承自己，让着自己，拍自己的马屁，不然就给你穿小鞋边缘化排挤你，恶不恶心啊科目四 ,0,0,2024-12-01 11:56:28
抗压背锅,9297157686,冷巷安故人,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.49007ea3.b4Rs5fa-Cl2gqITsPJ1cxw,Godv评价马头的rank操作痴呆的流口水,刚在ob真不怕js冲啊,754,202,2024-11-30 21:06:10
抗压背锅,9289995500,阿迪三叶草r,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.83c3f664.K-DnLGDjCQaFnOvTyxrQ7w?t=1627039337,哎，兄弟们有点迷茫了,我们这几年的就业行情怎么越来越差啊，感觉工作好难找。,9721,2837,2024-11-27 01:51:28
